Index,Feature 1,Feature 2,Feature 3,Error1 ,Error2,Error3,Error4,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35,Feature 36,Feature 37,Feature 38,Feature 39,Feature 40,Feature 41,Feature 42,Feature 43,Feature 44,Feature 45,Feature 46,Feature 47,Feature 48,Feature 49,Feature 50,Feature 51,Feature 52,Feature 53,Feature 54,Feature 55,Feature 56,Feature 57,Feature 58,Feature 59,Feature 60,Charge type,Cluster
0,big,error,Keine_Auswahl,FALSE,FALSE,FALSE,TRUE,40,21,6,25,20.5,8,100,99,126.4,12,100,99,56.74,0,5,6,92,100,99,6087.12,0.5,696899,695424,56895,17.85,20.5,61,148,61,125,18,6193.68,35122.89,42196.75,0,6.7,1475,11.15,18,success,IOS,CH,CH*REP,nan,nan,start_request_received>chargingservice_charging_duplicate_session_found>start_request_sending_to_cpo>start_request_received_success_from_cpo>started>cdr_created,nan,HUBJECT,CONNECT_STORE,0,7.7,0,0,Normal,6
1,big,error,Keine_Auswahl,FALSE,FALSE,FALSE,TRUE,27,36,6,23.5,35.5,14,100,97,119.6,30.35,100,97,6.29,0,7,12,96,100,97,4214.06,,2292746,2219781,57385,71,35.5,162,152,162,400,7.5,46701.06,75724.47,124173,784.5,51.7,72965,19.3,7.5,success,PLUG_AND_CHARGE,SE,DE*ION,nan,nan,start_request_received>started>cdr_created,nan,HUBJECT,CONNECT_STORE,0,50.26,0,0,Normal,3
2,big,error,Keine_Auswahl,FALSE,FALSE,FALSE,TRUE,33.5,53,6,25,51.96,12,100,99,125,36.13,100,99,88.51,0,22,7,100,100,99,2961.52,2.5,1504643,1449936,48529,83.4,48.5,346,336,346,400,31.5,69951.09,173275.23,258142,1609,71.95,54707,11.45,31.5,success,Manufacturer_CARD,FR,DE*ION,nan,nan,start_request_received>started>cdr_created,nan,HUBJECT,CONNECT_STORE,0,72.08,0,0,Normal,8
3,nan,error,Keine_Auswahl,FALSE,FALSE,FALSE,TRUE,54,39,6,25,38.5,7,100,93,117.4,51.58,100,93,133.91,0,4,6,98,100,93,,,69772,,,,,,,,,,,,,,,,,,success,CHARGING_CARD,DE,DE*ION,CDR_INVALID_CHARGE_VALUES_CONSUMED_ENERGY,chargingservice_charging_session_cdr_not_accepted,start_request_received>started>cdr_not_accepted,CDR_INVALID_CHARGE_VALUES_CONSUMED_ENERGY,HUBJECT,nan,0,0,0,1,Short Charging,0
4,big,error,DC_Laden,FALSE,FALSE,FALSE,TRUE,23.5,51,6,23,49.85,12,100,93,116,50.32,100,93,77.11,0,28,9,99,100,93,2985.87,,350510,299715,48508,57.7,50,323,310,323,400,43.5,15747.3,188743.17,241846.25,3788.75,17.45,50795,40.25,43.5,success,CHARGING_CARD,DE,DE*ION,nan,nan,start_request_received>started>cdr_created,nan,HUBJECT,CONNECT_STORE,0,16.28,0,0,Normal,4
5,big,error,Konditionierung,FALSE,FALSE,FALSE,TRUE,47.5,34,6,25,33.5,14,100,93,119.4,81.46,100,93,104.36,0,13,9,100,100,93,2768.51,1.5,2699044,2636948,53931,97.2,27,130,128,130,400,24,41586.35,56853.08,104457.75,829.75,43.35,62096,53.85,24,success,CHARGING_CARD,DE,DE*ION,nan,nan,start_request_received>started>cdr_created,nan,HUBJECT,CONNECT_STORE,0,45.5,0,0,Normal,1
6,big,error,Konditionierung,FALSE,FALSE,FALSE,TRUE,15.5,36,6,25,35,13,100,98,122.4,49.89,100,98,10.52,0,7,10,98,100,98,5557.59,1.5,2638571,2583073,55500,87.95,35,129,191,129,400,9.5,51519.82,71762.45,104877,0,54.25,55498,33.7,9.5,success,FLEET_CARD,DE,DE*EBW,nan,nan,start_request_received>started>cdr_created,nan,HUBJECT,Manufacturer_FLEET,0,56.53,0,0,Normal,5
7,big,error,Keine_Auswahl,FALSE,TRUE,FALSE,TRUE,37,42,5,25,41.5,14,100,94,117,31.26,100,94,93.71,0,26,13,100,100,94,354.04,,133167,,,,,,,0,0,,,,,,,,,,error,CHARGING_CARD,CH,FI*001,CDR_INVALID_CHARGE_VALUES_CONSUMED_ENERGY,chargingservice_charging_session_cdr_not_accepted,start_request_received>started>cdr_not_accepted,CDR_INVALID_CHARGE_VALUES_CONSUMED_ENERGY,HUBJECT,nan,0,0,0,1,Short Charging,0
8,big,error,Konditionierung,FALSE,FALSE,FALSE,TRUE,33,31,6,25,32.5,12,100,99,127.8,26.15,100,99,74.72,0,11,10,97,100,99,4804.33,,871727,797024,68442,44.95,32.5,186,183,186,400,21,25303.16,113088.64,139546.5,0,27,74703,17.95,21,success,PLUG_AND_CHARGE,DK,DE*ION,nan,nan,start_request_received>started>cdr_created,nan,HUBJECT,CONNECT_STORE,0,26.95,0,0,Normal,3
9,big,error,Keine_Auswahl,FALSE,FALSE,FALSE,TRUE,17.5,12,6,25,11.5,10,100,97,119.2,39.81,100,97,24.04,0,10,10,95,100,97,4024.27,3,253014,189991,49212,44.3,11.5,67,66,67,400,11,2532.23,47976.95,49412.5,45151.5,2.4,63023,41.9,11,success,IOS,BE,DE911,CDR_INVALID_CHARGE_VALUES_CONSUMED_ENERGY,chargingservice_charging_session_cdr_not_accepted,start_request_received>start_request_sending_to_cpo>start_request_received_success_from_cpo>started>cdr_not_accepted,CDR_INVALID_CHARGE_VALUES_CONSUMED_ENERGY,HUBJECT,nan,0,2.92,0,1,Normal,7
10,big,error,Konditionierung,FALSE,FALSE,FALSE,TRUE,23.5,30,6,25,29.5,18,100,98,122.4,85.64,100,98,69.48,13.53,17,13,96,100,98,28.9,,10414822,10400421,17785,98.1,24,26,128,26,0,24,25857.66,18988.61,20514,0,25.95,14401,72.15,28.5,success,Manufacturer_CARD,DE,DE*ISE,nan,nan,start_request_received>started>cdr_created,nan,HUBJECT,CONNECT_STORE,0,27.47,0,0,Normal,2
11,big,error,AC_Laden,FALSE,FALSE,FALSE,TRUE,24,23,6,25,21.5,11,100,97,120.6,45.96,100,97,50.7,16.87,4,4,95,100,97,0,,5463465,5429964,35784,69.1,21.5,28,554,28,0,10.5,30069.38,19971.63,20461,0,34.15,33501,34.95,10.5,success,FLEET_CARD,DE,DE*EBW,CDR_INVALID_CHARGE_VALUES_CONSUMED_ENERGY,chargingservice_charging_session_cdr_not_accepted,start_request_received>started>cdr_not_accepted,CDR_INVALID_CHARGE_VALUES_CONSUMED_ENERGY,HUBJECT,nan,0,0,0,1,Normal,2
